Standardized name	Isolate name	Isolation	Ecological origins	Geographical origins	Collection / Provider	Reference
BIN	DBVPG1123	Grape must	Wine	Manduria, Taranto, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIP	DBVPG1125	Grape must	Wine	Torre dei Passeri, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIQ	DBVPG1126	Grape must	Wine	Aquila, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIR	DBVPG1127	Grape must	Wine	Popoli, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIS	DBVPG1129	Grape must	Wine	Senigallia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BIT	DBVPG1145	Grape must	Wine	Corvo, Sicily, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKA	DBVPG1163	Cherries	Fruit	Aurum, Sicily, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKC	DBVPG1339	Grape must	Wine	Netherlands	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKD	DBVPG1374	Soil	Soil	Netherlands	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKE	DBVPG1380	Grape must	Wine	Rufina, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKF	DBVPG1473	Wine	Wine	Piemonte, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKG	DBVPG1490	Grape must	Wine	Etna, Sicily, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKH	DBVPG1523	Grape must	Wine	Trentino, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKI	DBVPG1554	Wine	Wine	Dalmatia 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKK	DBVPG1555	Unknown	Unknown	Radgona, Slovenia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKL	DBVPG1564	Grape must	Wine	Dolianova, Sardinia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKM	DBVPG1577	Grape must	Wine	Elmas, Sardinia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKN	DBVPG1580	Grape must	Wine	Sardinia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKP	DBVPG1581	Grape must	Wine	Marassinai, Sardinia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKQ	DBVPG1584	Unknown	Unknown	Porec, Istria	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKR	DBVPG1594	Grape must	Wine	Los Cerros, La Mancha, Spain 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKS	DBVPG1595	Grape must	Wine	La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BKT	DBVPG1596	Grape must	Wine	Santa Cruz de los Canamos, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLA	DBVPG1599	Grape must	Wine	Cerro del Moro, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLB	DBVPG1601	Grape must	Wine	Casa del Rey, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLC	DBVPG1606	Grape must	Wine	Villarta de San Juan, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLD	DBVPG1608	Grape must	Wine	La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLE	DBVPG1611	Grape must	Wine	Retamosa, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLF	DBVPG1615	Grape must	Wine	La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLG	DBVPG1625	Grape must	Wine	La Enconienda, La Mancha, Spain 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLH	DBVPG1626	Grape must	Wine	La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLI	DBVPG1629	Grape must	Wine	La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLK	DBVPG1631	Grape must treated with sulfur dioxide	Wine	Valdepenas, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLL	DBVPG1632	Grape must	Wine	Abertura, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLM	DBVPG1656	Grape must treated with sulfur dioxide	Wine	Los Campillos, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLN	DBVPG1659	Grape must	Wine	Campo de Santiago, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLP	DBVPG1661	Grape must	Wine	Los Polos, La Mancha, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLQ	DBVPG1669	Grape must	Wine	Cenicero, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLR	DBVPG1973	Grape must	Wine	Greece	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLS	DBVPG1975	Wine	Wine	Greece	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLT	DBVPG1984	Grape must	Wine	Slovenia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BLV	DBVPG3022	Grape must	Wine	Squinzano, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BMA	UWOPS03-429.1	Nectar, bertam palm	Tree	Malaysia	University of Western Ontario, Canada (Lachance M.A.)	9
BMB	UWOPS03-433.3	Nectar, bertam palm	Tree	Malaysia	University of Western Ontario, Canada (Lachance M.A.)	9
BMC	UWOPS03-459.1	Nectar, bertam palm	Tree	Malaysia	University of Western Ontario, Canada (Lachance M.A.)	9
BMD	384103A	Human	Human	RVI Newcastle, UK	National Collection of Yeast Cultures (NCYC)(Stephen A James, Donald Mackenzie and Ian Roberts)	
BME	368428S	Human	Human	RVI Newcastle, UK	National Collection of Yeast Cultures (NCYC)(Stephen A James, Donald Mackenzie and Ian Roberts)	
BMF	269521J	Human	Human	RVI Newcastle, UK	National Collection of Yeast Cultures (NCYC)(Stephen A James, Donald Mackenzie and Ian Roberts)	
BMG	NCYC_2925	Human sputum	Human, clinical	Norway	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
BMH	YJM984	Vagina	Human, clinical	Italy	Phaff collection (McCusker)	2
BMI	YJM989	Vagina	Human, clinical	Italy	Phaff collection (McCusker)	2
BMK	YJM990	Vagina	Human, clinical	Italy	Phaff collection (McCusker)	10
BML	NCYC_2780	Vagina	Human, clinical	Belgium	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
BMM	2680	Vagina	Human, clinical	Vall d'Hebron hospital, Barcelona, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BMN	2698	Faringe	Human, clinical	Vall d'Hebron hospital, Barcelona, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BMQ	2720	Blood	Human, clinical	La Fe Hospital,Valencia, Spain	Instituto de AgroquÃ­mica y TecnologÃ­a de los Alimentos (IATA)-CSIC (Amparo Querol)	
BMR	CEY646	Chicken	Nature	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BMV	CEY649	Agouti paca (RO)	Nature	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BNA	CEY650	Agouti paca (RO)	Nature	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BNB	CEY651	Fruits	Fruit	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BNC	CEY652	Fruits	Fruit	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BND	CEY653	Fruits	Fruit	French Guiana	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20
BNE	DBVPG1057	Grape must	Wine	Colli Romani, Lazio, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNF	DBVPG1078	Grape must	Wine	San Ferdinando, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNG	DBVPG1085	Grape must	Wine	Corato, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNH	DBVPG1685	Grape must	Wine	Haro, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNI	DBVPG1699	Grape must	Wine	De Casa la Reina, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNK	DBVPG1701	Grape must	Wine	Cihuri, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNL	DBVPG1708	Soil	Soil	Ultura, Sweden	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNM	DBVPG1711	Grape must	Wine	Ygai, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNN	DBVPG1712	Grape must	Wine	Pedrejon, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNP	DBVPG1714	Grape must	Wine	Fuen Mayor, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNQ	DBVPG1719	Grape must	Wine	San Adrian, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNR	DBVPG1725	Grape must	Wine	La Puebla de la Barca, Rioja, Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNT	DBVPG1772	Soil	Soil	Kuopio, Finland	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BNV	DBVPG1790	Soil	Soil	Turku, Finland	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPA	DBVPG1792	Soil	Soil	Viik, Helsinki, Finland	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPB	DBVPG1795	Grape must	Wine	Illasi, Verona, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPC	DBVPG1798	Grape must	Wine	Sicily, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPF	DBVPG1832	Fruit juice	Fruit	NA	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPG	DBVPG1841	Red Tecc	Unknown	Ethiopia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPH	DBVPG1843	White Tecc	Unknown	Ethiopia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPI	DBVPG1848	Tecc	Unknown	Ethiopia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPK	DBVPG1861	River water	Water	Rajamaki River, Finland	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPL	DBVPG1878	Grape must	Wine	Piave, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPM	DBVPG1880	Grape must treated with pesticides	Wine	Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPN	DBVPG1895	Grape must treated with pesticides	Wine	Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPP	DBVPG1898	Grape must	Wine	Pantelleria, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPQ	DBVPG1918	Grape must	Wine	Malta	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPR	DBVPG1919	Caverns	Nature	Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPT	DBVPG1960	Grape must	Wine	Recioto, Verona, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BPV	DBVPG1976	Wine	Wine	Slovakia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQA	DBVPG1994	Grapes	Wine	Greece	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQB	DBVPG2049	Lambrusco grape must	Wine	Reggio Emilia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQC	DBVPG2088	Cognac	Distillery	Cognac, France	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQE	DBVPG2166	Sagrantino wine	Wine	production zone of Sagrantino wine, Montefalco, Foligno, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQG	DBVPG3098	Grape must	Wine	Calabria, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQH	DBVPG3100	Grape must	Wine	Toscana, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQI	DBVPG3924	Grape must	Wine	Piave, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQM	DBVPG4162	Grape must	Wine	Reggio Emilia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQN	DBVPG4186	Wine	Wine	Slovenia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQP	DBVPG4297	Prosecco wine	Wine	Treviso, Italy 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQQ	DBVPG4317	Fermenting refrigerated Grape must (5C ca)	Wine	Bettona, Perugia, Italy 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQR	DBVPG4381	Seawater	Water	Italy 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQS	DBVPG4410	Wine	Wine	Italy 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BQT	DBVPG4460	Wine	Wine	Jesi, Italy 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRA	DBVPG4651	Surface of Tuber magnatum	Nature	Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRB	DBVPG4686	Winery	Wine	Deruta, Perugia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRC	DBVPG4695	Winery surface at the beginning of Vino Santo production, Lungarotti winery	Wine	Torgiano, Perugia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRD	DBVPG4902	Dried sausages under oil	Unknown	Perugia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRE	DBVPG4905	Fermenting grape must	Wine	Marsciano, Perugia, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRF	DBVPG5760	Wine fermenter	Wine	Production zone of Sagrantino wine, Montefalco, Foligno, Italy	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRG	DBVPG5836	Soil close to plum tree, depth: 25 cm. Agricultural soil: presence of important vegetation, some fallen fruit (plum) rotting & insects. Average T (June): [max: 26.3C / min: 13.6C]. Precipitation (June): 17.4 mm.	Soil	District of Hamma Bouziane, Constantine, Algeria	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRH	DBVPG6223	Grape must	Wine	Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRK	DBVPG6302	Alpechin (waste from olive oil production)	Industrial	Spain	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRL	DBVPG6350	UC Berkeley	Unknown	USA	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRM	DBVPG6590	Alcohol production tank	Distillery	Brazil	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRP	DBVPG6694	Artois Peterman beer	Beer	Belgium	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRQ	DBVPG6695	Orval Trappist beer	Beer	Belgium	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BRV	DBVPG6874	Human	Human, clinical	USA 	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BSA	DBVPG6876	Winery	Wine	Frog's Leap Winery, California, USA	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BSB	DBVPG6877	Winery	Wine	Sterling Winery, California, USA	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BSC	DBVPG6878	Winery	Wine	Mondavi Winery, California, USA	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BSD	DBVPG6879	Winery	Wine	Newton Winery, California, USA	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BSE	DBVPG6880	Winery	Wine	Ridge Winery, California, USA	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BSG	DBVPG6295	Grape must	Wine	South Africa	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BSI	DBVPG6693	Beer	Beer	Belgium	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
BSK	D3742	Spoiled ice tea	Unknown	France	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
BSL	M57	Wine	Wine	Italy	University of Florence (Duccio Cavalieri)	8
BSM	SGU89	Wine	Wine	Italy	University of Florence (Duccio Cavalieri)	8
BSN	SG60	Wine	Wine	Italy	University of Florence (Duccio Cavalieri)	8
BSP	L-1183	Wine	Wine	Uruguay	Pontificia Universidad Catolica de Chile (Claudio Martinez)	
BSR	L-958	Wine	Wine	Mendoza area, Argentina	Pontificia Universidad Catolica de Chile (Claudio Martinez)	
BSS	L-960	Wine	Wine	Mendoza area, Argentina	Pontificia Universidad Catolica de Chile (Claudio Martinez)	
BST	L-962	Wine	Wine	Mendoza area, Argentina	Pontificia Universidad Catolica de Chile (Claudio Martinez)	
BTA	NCYC_2798	Clinical isolate, AIDS patient	Human, clinical	Germany	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
BTB	77	Baker's yeast	Bakery	NA	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
BTC	79	Fleischmann baker's yeast.	Bakery	NA	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
BTD	YS5(E)	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Bakery	NA	Macquarie University (Philip Bell)	18
BTE	YS8(E)	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Bakery	NA	Macquarie University (Philip Bell)	18
BTF	YS22(E)	type yeasts of the species Saccharomyces cerevisiae in different sugar media", Letters in Applied Microbiology 2001	Bakery	NA	Macquarie University (Philip Bell)	18
BTG	ZP_567	Quercus pyrenaica	Tree	Portugal, Castelo de Vide,	Faculdade de CiÃªncias e Tecnologia of Universidade NOVA de Lisboa (FCT-NOVA)(JosÃ© Paulo Sampaio)	
BTH	ZP_577	Quercus faginea	Tree	Portugal, Aldeia das Dez, S. Estrela,	Faculdade de CiÃªncias e Tecnologia of Universidade NOVA de Lisboa (FCT-NOVA)(JosÃ© Paulo Sampaio)	
BTI	ZP_611	Quercus robur	Tree	Canada, Vancouver,	Faculdade de CiÃªncias e Tecnologia of Universidade NOVA de Lisboa (FCT-NOVA)(JosÃ© Paulo Sampaio)	
BTL	L-304	Wine	Wine	Chile	Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	
BTN	L-475	Wine	Wine	Chile	Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	
BTP	L-1198	Heterozygote, 12% Sporulation Efficiency	Wine	Valle de Ica, Peru	Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	11
BTR	L-1201	Heterozygote, 12% Sporulation Efficiency	Wine	Valle de Ica, Peru	Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez)	11
BTS	RIB1005	Sake	Sake	Japan	National Research Institute of Brewing, Hiroshima	
BTT	M.9.1	CachaÃ§a	Distillery	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BTV	M.14.1	CachaÃ§a	Distillery	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVA	RP.10.4	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVB	RP.10.13	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVC	RP.10.14	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVD	SM.9.1.AL1	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVE	SM.9.1.BL7	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVF	SM.9.2.BR3(L)	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVG	SM.9.4.BL2	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVH	SM.9.4.BR1	Bioethanol	Bioethanol	Brazil	IBB-Unesp (Ana Teresa B. F. Antonangelo )	13
BVK	4LBI-3	Spontaneous grape fermentation	Wine	Basilicata, Italy	University of Basilicata (Angela Capece and Patrizia Romano)	
BVM	SA6-31	Spontaneous grape fermentation	Wine	Toscana, Italy	University of Basilicata (Angela Capece and Patrizia Romano)	
BVT	B-24	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
BVV	8-15	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAA	5-18	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAB	11-8	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAC	A-12	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAD	11-18	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAE	B-4	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAF	C-3	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAH	D-1	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAI	D-4	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAK	A-16	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAL	A-19	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAM	9-7	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAN	8-3	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAP	11-2	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAQ	5-2	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAR	A-9	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAS	B-17	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAT	C-12	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CAV	B-13	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CBA	A-14	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CBB	1-9	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CBC	D-18	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CBD	B-11	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CBE	D-21	Wine conserved in amphora	Wine	Georgia	University of Basilicata (Angela Capece and Patrizia Romano)	7
CBF	SD-15	Sourdough levan	Bakery	Matera, Italy	University of Basilicata (Angela Capece and Patrizia Romano)	
CBG	DBVPG1978	Grape must	Wine	Slovakia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
CBH	DBVPG3051	Grape must	Wine	Israel	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
CBI	DBVPG4036	Grape must	Wine	ex Yugoslavia	DBVPG collection (Benedetta Turchetti and Pietro Buzzini)	
CBK	1	Chalcidoidea  	Insect	Schleswig-Holstein	Max Planck Institute for Evolutionary Biology (Duncan Greig)	
CBL	2	Chalcidoidea  	Insect	Schleswig-Holstein	Max Planck Institute for Evolutionary Biology (Duncan Greig)	
CBM	3	Chalcidoidea  	Insect	Forest of Nehmten in Schleswig-Holstein	Max Planck Institute for Evolutionary Biology (Duncan Greig)	
CBN	NCYC_88	Ale strain	Beer	UK	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
CBR	NCYC_1187	Ale strain	Beer	UK	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	
CCC	CLQCA_20-156	Flower (Gesneriaceae sp.)	Flower	Yasuni, Orellana	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
CCD	CLQCA_20-184	Flower from Heliconia sp.	Flower	Yasuni, Orellana	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
CCE	CLQCA_20-221	Flower from Heliconia sp.	Flower	Yasuni, Orellana	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
CCF	CLQCA_20-246	Termite mound	Insect	Yasuni, Orellana	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
CCG	CLQCA_20-259	Decaying fruit	Fruit	Yasuni, Orellana	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
CCH	CLQCA_20-314	Termite mound	Insect	Yasuni, Orellana	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
CCI	CLQCA_20-248	Termite mound	Insect	Yasuni, Orellana	National Collection of Yeast Cultures (NCYC)(Stephen A James) and ColecciÃ³n de Levaduras Quito CatÃ³lica (CLQCA)(Enrique Javier Carvajal Barriga)	
CCL	N19-1C	Exudate of Quercus sp.	Tree	Gelendzhik region, Caucasus, Russia	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CCM	N493-2C	Fir tree needles	Tree	Kiev district, Ukraine	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CCN	VKM_Y-504:S	Berries of Viburnum Burejanum	Fruit	Russian Far East	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CCP	IFO_0877:6-1	Quercus sp.	Tree	Japan	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CCQ	Ksc2-2B	Tree exudate	Tree	Japan	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CCR	Ksc40-8A	Tree exudate	Tree	Japan	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CCS	Ksc73-2D	Tree exudate	Tree	Japan	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
CCT	S11F3-6B	Phloem sap of Caryota urens	Tree	Sri Lanka	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	
